latitude,longitude,tas_anom,pays
-88.5,-126.5,2.0281072,ATA
-88.5,-125.5,2.0273187,ATA
-88.5,-124.5,2.0290842,ATA
-88.5,-123.5,2.030007,ATA
-88.5,-122.5,2.036191,ATA
-88.5,-121.5,2.0359166,ATA
-88.5,-120.5,2.036673,ATA
-88.5,-119.5,2.0350404,ATA
-88.5,-118.5,2.0353272,ATA
-88.5,-117.5,2.0370312,ATA
-88.5,-116.5,2.0355296,ATA
-88.5,-115.5,2.0345087,ATA
-88.5,-114.5,2.03465,ATA
-88.5,-113.5,2.0329163,ATA
-88.5,-112.5,2.0308182,ATA
-88.5,-111.5,2.0324743,ATA
-88.5,-110.5,2.032529,ATA
-88.5,-109.5,2.029328,ATA
-88.5,-108.5,2.025405,ATA
-88.5,-107.5,2.0275705,ATA
-88.5,-106.5,2.0204213,ATA
-88.5,-105.5,2.0170288,ATA
-88.5,-104.5,2.0151541,ATA
-88.5,-103.5,2.0161457,ATA
-88.5,-102.5,2.0143223,ATA
-88.5,-101.5,2.0162761,ATA
-88.5,-100.5,2.0165424,ATA
-88.5,-99.5,2.0147948,ATA
-88.5,-98.5,2.014124,ATA
-88.5,-97.5,2.0182734,ATA
-88.5,-96.5,2.0190215,ATA
-88.5,-95.5,2.0168161,ATA
-88.5,-94.5,2.016078,ATA
-88.5,-93.5,2.0153131,ATA
-88.5,-92.5,2.0157995,ATA
-88.5,-91.5,2.0181904,ATA
-88.5,-90.5,2.0181897,ATA
-88.5,-89.5,2.0183253,ATA
-88.5,-88.5,2.0175512,ATA
-88.5,-87.5,2.0166385,ATA
-88.5,-86.5,2.0153184,ATA
-88.5,-85.5,2.0160713,ATA
-88.5,-84.5,2.0166564,ATA
-88.5,-83.5,2.017651,ATA
-88.5,-82.5,2.0198472,ATA
-88.5,-81.5,2.0193155,ATA
-88.5,-80.5,2.0190232,ATA
-88.5,-79.5,2.0197315,ATA
-88.5,-78.5,2.0184946,ATA
-88.5,-77.5,2.0194423,ATA
-88.5,-76.5,2.0204184,ATA
-88.5,-75.5,2.021777,ATA
-88.5,-74.5,2.0224972,ATA
-88.5,-73.5,2.0219753,ATA
-88.5,-72.5,2.0269246,ATA
-88.5,-71.5,2.0254614,ATA
-88.5,-70.5,2.0285563,ATA
-88.5,-69.5,2.0300105,ATA
-88.5,-68.5,2.0299892,ATA
-88.5,-67.5,2.0317194,ATA
-88.5,-66.5,2.033191,ATA
-88.5,-65.5,2.0325022,ATA
-88.5,-64.5,2.0325677,ATA
-88.5,-63.5,2.0333652,ATA
-88.5,-62.5,2.0260544,ATA
-88.5,-61.5,2.031696,ATA
-88.5,-60.5,2.0327463,ATA
-88.5,-59.5,2.0325863,ATA
-88.5,-58.5,2.0344677,ATA
-88.5,-57.5,2.0358725,ATA
-88.5,-56.5,2.0364017,ATA
-88.5,-55.5,2.0376575,ATA
-88.5,-54.5,2.0391598,ATA
-88.5,-53.5,2.0382721,ATA
-88.5,-52.5,2.043272,ATA
-88.5,-51.5,2.0420964,ATA
-88.5,-50.5,2.043377,ATA
-88.5,-49.5,2.0449688,ATA
-88.5,-48.5,2.0481236,ATA
-88.5,-47.5,2.0478053,ATA
-88.5,-46.5,2.0490398,ATA
-88.5,-45.5,2.0488913,ATA
-88.5,-44.5,2.046692,ATA
